-;-;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
-;-;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
-;0;1;3;4;6; ; ; ; ; ; ; ; ; ; ; ; ; 
-;0;2;4;6;7;9; ; ; ; ; ; ; ; ; ; ; ; 
-;1;3;5;7;9;11;14; ; ; ; ; ; ; ; ; ; ; 
-;1;3;6;8;11;13;16;19; ; ; ; ; ; ; ; ; ; 
-;1;4;7;9;12;15;18;22;25; ; ; ; ; ; ; ; ; 
-;2;5;8;11;14;17;21;24;28;31; ; ; ; ; ; ; ; 
0;2;5;9;12;16;20;23;27;31;35;39; ; ; ; ; ; ; 
0;2;6;10;13;17;22;26;30;34;38;43;47; ; ; ; ; ; 
0;3;7;11;15;19;24;28;33;37;42;47;51;56; ; ; ; ; 
0;3;7;12;16;21;26;31;36;41;46;51;56;61;66; ; ; ; 
0;4;8;13;18;23;28;33;38;44;49;55;60;66;71;77; ; ; 
0;4;9;14;19;24;30;36;41;47;53;59;65;70;76;82;88; ; 
1;4;9;15;20;26;32;38;44;50;56;63;69;75;82;88;94;101; 
1;5;10;16;22;28;34;40;47;53;60;67;73;80;87;93;100;107;114
